Columbus,Pittsburgh,12/9/2013
Philadelphia,Ottawa,12/9/2013
Carolina,Vancouver,12/9/2013
NY Islanders,Anaheim,12/9/2013
Los Angeles,Montreal,12/10/2013
New Jersey,Columbus,12/10/2013
Ottawa,Buffalo,12/10/2013
Tampa Bay,Washington,12/10/2013
Detroit,Florida,12/10/2013
Nashville,NY Rangers,12/10/2013
St. Louis,Winnipeg,12/10/2013
Chicago,Dallas,12/10/2013
Phoenix,Colorado,12/10/2013
Boston,Calgary,12/10/2013
Carolina,Edmonton,12/10/2013
NY Islanders,San Jose,12/10/2013
Los Angeles,Toronto,12/11/2013
Philadelphia,Chicago,12/11/2013
Minnesota,Anaheim,12/11/2013
Columbus,NY Rangers,12/12/2013
Montreal,Philadelphia,12/12/2013
Buffalo,Ottawa,12/12/2013
Detroit,Tampa Bay,12/12/2013
Colorado,Winnipeg,12/12/2013
Dallas,Nashville,12/12/2013
Toronto,St. Louis,12/12/2013
Carolina,Calgary,12/12/2013
NY Islanders,Phoenix,12/12/2013
Boston,Edmonton,12/12/2013
Minnesota,San Jose,12/12/2013
New Jersey,Pittsburgh,12/13/2013
Washington,Florida,12/13/2013
Edmonton,Vancouver,12/13/2013
Calgary,Buffalo,12/14/2013
Los Angeles,Ottawa,12/14/2013
Dallas,Winnipeg,12/14/2013
Chicago,Toronto,12/14/2013
Montreal,NY Islanders,12/14/2013
Pittsburgh,Detroit,12/14/2013
St. Louis,Columbus,12/14/2013
Tampa Bay,New Jersey,12/14/2013
Carolina,Phoenix,12/14/2013
San Jose,Nashville,12/14/2013
Minnesota,Colorado,12/14/2013
Boston,Vancouver,12/14/2013
Philadelphia,Washington,12/15/2013
Tampa Bay,Detroit,12/15/2013
Florida,Montreal,12/15/2013
Calgary,NY Rangers,12/15/2013
Los Angeles,Chicago,12/15/2013
Edmonton,Anaheim,12/15/2013
Toronto,Pittsburgh,12/16/2013
Winnipeg,Columbus,12/16/2013
St. Louis,Ottawa,12/16/2013
Dallas,Colorado,12/16/2013
Calgary,Boston,12/17/2013
Florida,Toronto,12/17/2013
Tampa Bay,NY Islanders,12/17/2013
Winnipeg,Buffalo,12/17/2013
Anaheim,Detroit,12/17/2013
Phoenix,Montreal,12/17/2013
Washington,Philadelphia,12/17/2013
Chicago,Nashville,12/17/2013
San Jose,St. Louis,12/17/2013
Vancouver,Minnesota,12/17/2013
Colorado,Dallas,12/17/2013
Edmonton,Los Angeles,12/17/2013
Ottawa,New Jersey,12/18/2013
Pittsburgh,NY Rangers,12/18/2013
Boston,Buffalo,12/19/2013
Columbus,Philadelphia,12/19/2013
Minnesota,Pittsburgh,12/19/2013
Phoenix,Toronto,12/19/2013
Calgary,Detroit,12/19/2013
Florida,Ottawa,12/19/2013
Nashville,Tampa Bay,12/19/2013
Montreal,St. Louis,12/19/2013
Vancouver,Dallas,12/19/2013
Edmonton,Colorado,12/19/2013
San Jose,Los Angeles,12/19/2013
Anaheim,New Jersey,12/20/2013
NY Islanders,NY Rangers,12/20/2013
Washington,Carolina,12/20/2013
Florida,Winnipeg,12/20/2013
Vancouver,Chicago,12/20/2013
Phoenix,Ottawa,12/21/2013
Colorado,Los Angeles,12/21/2013
Anaheim,NY Islanders,12/21/2013
