Toronto,Montreal,10/1/2013
Washington,Chicago,10/1/2013
Winnipeg,Edmonton,10/1/2013
Toronto,Philadelphia,10/2/2013
Buffalo,Detroit,10/2/2013
Anaheim,Colorado,10/2/2013
Calgary,Washington,10/3/2013
New Jersey,Pittsburgh,10/3/2013
Tampa Bay,Boston,10/3/2013
Los Angeles,Minnesota,10/3/2013
Nashville,St. Louis,10/3/2013
Florida,Dallas,10/3/2013
NY Rangers,Phoenix,10/3/2013
Vancouver,San Jose,10/3/2013
Calgary,Columbus,10/4/2013
Detroit,Carolina,10/4/2013
NY Islanders,New Jersey,10/4/2013
Ottawa,Buffalo,10/4/2013
Los Angeles,Winnipeg,10/4/2013
Nashville,Colorado,10/4/2013
Buffalo,Pittsburgh,10/5/2013
Columbus,NY Islanders,10/5/2013
Detroit,Boston,10/5/2013
Ottawa,Toronto,10/5/2013
Philadelphia,Montreal,10/5/2013
Anaheim,Minnesota,10/5/2013
Florida,St. Louis,10/5/2013
Tampa Bay,Chicago,10/5/2013
Washington,Dallas,10/5/2013
Edmonton,Vancouver,10/5/2013
Phoenix,San Jose,10/5/2013
Philadelphia,Carolina,10/6/2013
Anaheim,Winnipeg,10/6/2013
Vancouver,Calgary,10/6/2013
New Jersey,Edmonton,10/7/2013
NY Rangers,Los Angeles,10/7/2013
Carolina,Pittsburgh,10/8/2013
Colorado,Toronto,10/8/2013
Florida,Philadelphia,10/8/2013
Phoenix,NY Islanders,10/8/2013
Tampa Bay,Buffalo,10/8/2013
Minnesota,Nashville,10/8/2013
New Jersey,Vancouver,10/8/2013
NY Rangers,San Jose,10/8/2013
Chicago,St. Louis,10/9/2013
Montreal,Calgary,10/9/2013
Ottawa,Los Angeles,10/9/2013
Carolina,Washington,10/10/2013
Colorado,Boston,10/10/2013
Columbus,Buffalo,10/10/2013
Florida,Tampa Bay,10/10/2013
Phoenix,Detroit,10/10/2013
Toronto,Nashville,10/10/2013
Winnipeg,Minnesota,10/10/2013
Montreal,Edmonton,10/10/2013
NY Rangers,Anaheim,10/10/2013
San Jose,Vancouver,10/10/2013
Los Angeles,Carolina,10/11/2013
Phoenix,Philadelphia,10/11/2013
Pittsburgh,Florida,10/11/2013
Dallas,Winnipeg,10/11/2013
NY Islanders,Chicago,10/11/2013
New Jersey,Calgary,10/11/2013
Boston,Columbus,10/12/2013
Colorado,Washington,10/12/2013
Edmonton,Toronto,10/12/2013
Philadelphia,Detroit,10/12/2013
Pittsburgh,Tampa Bay,10/12/2013
Buffalo,Chicago,10/12/2013
Dallas,Minnesota,10/12/2013
NY Islanders,Nashville,10/12/2013
NY Rangers,St. Louis,10/12/2013
Montreal,Vancouver,10/12/2013
Ottawa,San Jose,10/12/2013
Phoenix,Carolina,10/13/2013
Los Angeles,Florida,10/13/2013
New Jersey,Winnipeg,10/13/2013
Ottawa,Anaheim,10/13/2013
Detroit,Boston,10/14/2013
Edmonton,Washington,10/14/2013
Minnesota,Buffalo,10/14/2013
Buffalo,NY Islanders,10/15/2013
Chicago,Carolina,10/15/2013
Edmonton,Pittsburgh,10/15/2013
Minnesota,Toronto,10/15/2013
Vancouver,Philadelphia,10/15/2013
Columbus,Detroit,10/15/2013
Los Angeles,Tampa Bay,10/15/2013
Florida,Nashville,10/15/2013
Montreal,Winnipeg,10/15/2013
San Jose,St. Louis,10/15/2013
Dallas,Colorado,10/15/2013
Ottawa,Phoenix,10/15/2013
NY Rangers,Washington,10/16/2013
Calgary,Anaheim,10/16/2013
Carolina,Toronto,10/17/2013
Edmonton,NY Islanders,10/17/2013
Pittsburgh,Philadelphia,10/17/2013
Vancouver,Buffalo,10/17/2013
Boston,Florida,10/17/2013
Columbus,Montreal,10/17/2013
Minnesota,Tampa Bay,10/17/2013
New Jersey,Ottawa,10/17/2013
Los Angeles,Nashville,10/17/2013
St. Louis,Chicago,10/17/2013
San Jose,Dallas,10/17/2013
Detroit,Colorado,10/17/2013
St. Louis,Winnipeg,10/18/2013
Phoenix,Anaheim,10/18/2013
Vancouver,Pittsburgh,10/19/2013
Edmonton,Ottawa,10/19/2013
